water_name,county,species,quantity,length,stock_date,source_year
AMLEN L X-99,DUCHESNE,BROOK TROUT,600,2.88,06/27/2018,2018
ARTA L RC-23,DUCHESNE,CUTTHROAT,354,1.74,10/12/2018,2018
ATWINE L X-64,DUCHESNE,BROOK TROUT,1355,2.88,07/09/2018,2018
BIG SANDWASH RES,DUCHESNE,RAINBOW,2481,7.97,05/15/2018,2018
BIG SANDWASH RES,DUCHESNE,RAINBOW,6346,8.89,05/16/2018,2018
BIG SANDWASH RES,DUCHESNE,RAINBOW,5700,8.89,05/18/2018,2018
BOLLEY L U-96,DUCHESNE,CUTTHROAT,708,1.74,10/12/2018,2018
BONNIE L Z-6,DUCHESNE,BROOK TROUT,600,2.88,06/27/2018,2018
BOWDEN L U-32,DUCHESNE,BROOK TROUT,452,2.88,07/10/2018,2018
BROWNS DRAW RES,DUCHESNE,RAINBOW,14952,3.04,04/18/2018,2018
BROWNS DRAW RES,DUCHESNE,TIGER TROUT,10010,2.96,05/14/2018,2018
BUD L Z-2,DUCHESNE,BROOK TROUT,560,2.88,06/27/2018,2018
BUTTERFLY L Z-1,DUCHESNE,BROOK TROUT,508,2.53,05/30/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,297,9.65,06/05/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,300,9.65,06/11/2018,2018
BUTTERFLY L Z-1,DUCHESNE,TIGER TROUT,398,9.63,06/11/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,301,9.64,06/21/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,299,9.64,06/25/2018,2018
BUTTERFLY L Z-1,DUCHESNE,TIGER TROUT,300,9.63,06/28/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,399,9.64,07/02/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,377,9.64,07/02/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,300,9.63,07/10/2018,2018
BUTTERFLY L Z-1,DUCHESNE,TIGER TROUT,398,10.36,07/11/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,301,10.21,07/17/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,306,10.21,07/23/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,300,9.77,07/30/2018,2018
BUTTERFLY L Z-1,DUCHESNE,TIGER TROUT,338,10.36,07/31/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,299,9.61,08/06/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,499,9.61,08/13/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,499,10.34,08/20/2018,2018
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,504,10.6,08/27/2018,2018
CABIN L RC-42,DUCHESNE,CUTTHROAT,354,1.74,10/12/2018,2018
"CARROL L, UPPER X-18",DUCHESNE,CUTTHROAT,590,1.74,10/12/2018,2018
CEDARVIEW RES,DUCHESNE,CUTTHROAT,1373,2.17,11/05/2018,2018
CEDARVIEW RES,DUCHESNE,CUTTHROAT,506,2.05,11/05/2018,2018
CHAIN L NO 4 U-4,DUCHESNE,CUTTHROAT,1593,1.74,10/12/2018,2018
CHEPETA L WR-64,DUCHESNE,CUTTHROAT,4366,1.74,10/12/2018,2018
COLOROW (ASPEN) X-63,DUCHESNE,BROOK TROUT,798,2.88,07/09/2018,2018
CRAIG L U-85,DUCHESNE,CUTTHROAT,354,1.74,10/12/2018,2018
CRATER L X-94,DUCHESNE,TIGER TROUT,714,2.35,07/10/2018,2018
CRESCENT L U-48,DUCHESNE,CUTTHROAT,3776,1.74,10/12/2018,2018
CROW L DG-3,DUCHESNE,CUTTHROAT,1298,1.74,10/12/2018,2018
DALE L Z-39,DUCHESNE,BROOK TROUT,1500,2.88,06/26/2018,2018
DAYNES L Z-38,DUCHESNE,BROOK TROUT,2000,2.88,06/26/2018,2018
DEAN L Z-40,DUCHESNE,BROOK TROUT,1600,2.88,06/26/2018,2018
DENISE L WR-9,DUCHESNE,BROOK TROUT,252,2.88,07/10/2018,2018
DRIFT RES Y-41,DUCHESNE,BROOK TROUT,746,2.88,07/10/2018,2018
DUCHESNE R,DUCHESNE,RAINBOW,252,9.22,06/05/2018,2018
DUCHESNE R,DUCHESNE,RAINBOW,497,10.29,06/21/2018,2018
DUCHESNE R,DUCHESNE,RAINBOW,250,10.08,07/19/2018,2018
"DUCHESNE R, N FK",DUCHESNE,RAINBOW,1108,9.22,06/05/2018,2018
"DUCHESNE R, N FK",DUCHESNE,RAINBOW,1000,10.08,07/19/2018,2018
"DUCHESNE R, N FK",DUCHESNE,RAINBOW,500,10.77,08/28/2018,2018
EMERALD L D-20,DUCHESNE,BROOK TROUT,75,2.88,06/27/2018,2018
EVERMAN L Z-36,DUCHESNE,BROOK TROUT,800,2.88,06/26/2018,2018
FISH HATCHERY L X-6,DUCHESNE,CUTTHROAT,2478,1.74,10/12/2018,2018
GOVERNORS L Z-24,DUCHESNE,BROOK TROUT,3600,2.88,06/26/2018,2018
GREEN MEADOW POND,DUCHESNE,CUTTHROAT,203,4.34,05/14/2018,2018
HIDDEN L DG-27,DUCHESNE,BROOK TROUT,1208,2.88,07/10/2018,2018
INDIAN CYN CR,DUCHESNE,CUTTHROAT,1974,2.19,10/25/2018,2018
ISLAND RES X-34,DUCHESNE,CUTTHROAT,1180,1.74,10/12/2018,2018
JACK L X-133,DUCHESNE,BROOK TROUT,200,2.88,06/27/2018,2018
JILL L X-111,DUCHESNE,BROOK TROUT,270,2.88,06/27/2018,2018
JORDAN L Z-35,DUCHESNE,BROOK TROUT,2300,2.88,06/26/2018,2018
KATY L WR-34,DUCHESNE,CUTTHROAT,649,1.74,10/12/2018,2018
KINGS L Y-22,DUCHESNE,CUTTHROAT,708,1.74,10/12/2018,2018
LAKE CANYON L,DUCHESNE,TIGER TROUT,564,2.16,05/14/2018,2018
LAKE CANYON L,DUCHESNE,CUTTHROAT,1495,4.66,05/22/2018,2018
LAKE FK R,DUCHESNE,RAINBOW,425,9.22,06/08/2018,2018
LAKE FK R,DUCHESNE,RAINBOW,430,10.36,07/05/2018,2018
LAKE FK R,DUCHESNE,RAINBOW,643,11.37,09/19/2018,2018
LECONTE L Z-33,DUCHESNE,TIGER TROUT,702,2.34,07/09/2018,2018
LF- 8,DUCHESNE,CUTTHROAT,472,1.74,10/12/2018,2018
LIGHTNING L X-127,DUCHESNE,BROOK TROUT,700,2.88,06/27/2018,2018
LILLY L U-23,DUCHESNE,BROOK TROUT,809,2.88,07/10/2018,2018
LILY L S-15,DUCHESNE,BROOK TROUT,2006,2.88,07/10/2018,2018
"LILY PAD,LOWER DG-26",DUCHESNE,BROOK TROUT,452,2.88,07/11/2018,2018
"LILY PAD,UPPER DG-25",DUCHESNE,BROOK TROUT,1208,2.88,07/10/2018,2018
LITTLE DOG L X-33,DUCHESNE,BROOK TROUT,704,2.88,07/09/2018,2018
LODGEPOLE L X-3,DUCHESNE,BROOK TROUT,1700,2.88,06/26/2018,2018
LOST L Z-29,DUCHESNE,BROOK TROUT,1700,2.88,06/26/2018,2018
MABA L Z-8,DUCHESNE,BROOK TROUT,600,2.88,06/27/2018,2018
MARGO L Z-23,DUCHESNE,CUTTHROAT,1180,1.74,10/12/2018,2018
MARSELL L X-11,DUCHESNE,CUTTHROAT,1121,1.74,10/12/2018,2018
MID L X-42,DUCHESNE,BROOK TROUT,651,2.88,07/10/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,748,9.65,06/05/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,751,9.65,06/11/2018,2018
MIRROR L Z-3,DUCHESNE,TIGER TROUT,498,9.63,06/11/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,751,9.65,06/18/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,756,9.64,06/25/2018,2018
MIRROR L Z-3,DUCHESNE,TIGER TROUT,1000,9.63,06/28/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,751,9.64,07/02/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,756,9.63,07/10/2018,2018
MIRROR L Z-3,DUCHESNE,TIGER TROUT,1004,10.36,07/11/2018,2018
MIRROR L Z-3,DUCHESNE,BROOK TROUT,3498,2.87,07/11/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,752,10.21,07/17/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,999,10.21,07/23/2018,2018
MIRROR L Z-3,DUCHESNE,RAINBOW,748,9.77,07/30/2018,2018
